barcode,line,stand,bin,location
075486091866,15,10,5,15-10-5
075486091910,26,1,3,26-1-3
075486091927,26,1,4,26-1-4
075707040857,14,8,4,14-8-4
075707040956,15,4,4,15-4-4
075707080006,14,8,4,14-8-4
075707084752,14,8,4,14-8-4
075707090159,25,3,1,25-3-1
075707090500,15,4,4,15-4-4
075707090753,25,3,1,25-3-1
075707098155,14,8,4,14-8-4
075707098551,25,3,1,25-3-1
075707200107,8,4,3,8-4-3
075724071285,8,2,5,8-2-5
075724245662,3,10,3,3-10-3
076791002127,7,4,1,7-4-1
077043000953,15,4,2,15-4-2
077043001776,18,8,4,18-8-4
077043001783,18,11,5,18-11-5
077043001950,13,1,3,13-1-3
077043001974,26,1,5,26-1-5
077043002117,18,10,5,18-10-5
077043002124,19,4,4,19-4-4
077043002131,19,4,3,19-4-3
077043002148,19,4,3,19-4-3
077043002162,19,4,4,19-4-4
077043002179,18,8,4,18-8-4
077043002186,19,4,3,19-4-3
077043002209,18,7,4,18-7-4
077043002216,17,12,5,17-12-5
077043002223,19,4,3,19-4-3
077043002285,26,1,5,26-1-5
077043002339,15,3,2,15-3-2
077043002513,15,6,2,15-6-2
077043002520,15,4,5,15-4-5
077043002544,15,10,4,15-10-4
077043002568,15,10,4,15-10-4
077043002575,15,10,4,15-10-4
077043003213,17,7,3,17-7-3
077043003244,26,1,3,26-1-3
077043003466,15,4,2,15-4-2
077043003527,19,4,3,19-4-3
077043103609,15,4,3,15-4-3
077043104736,13,8,4,13-8-4
077043355862,35,5,2,35-5-2
077043357644,15,4,2,15-4-2
077043608036,12,3,2,12-3-2
0781930688055,39,3,3,39-3-3
0781930688062,39,2,3,39-2-3
078522000259,1,6,4,1-6-4
078522015000,10,2,4,10-2-4
078522030324,25,12,2,25-12-2
078522040064,23,5,5,23-5-5
078522040125,14,1,4,14-1-4
078522040163,25,2,1,25-2-1
078522040316,13,12,3,13-12-3
078522046110,1,1,2,1-1-2
078522046455,10,4,3,10-4-3
